TradeDate,Expiry,ATM,Entry_Straddle,Entry_Wings,Net_Entry,Exit_Value,PnL,ExitReason,Capital
2017-01-02,2017-01-05,18200,308.95,65.25,243.7,289.2,-45.5,STOP_LOSS,999954.5
2017-01-11,2017-01-12,18600,141.1,4.7,136.4,176.9,-40.5,STOP_LOSS,999914.0
2017-01-19,2017-01-19,19200,119.85,0.85,119.0,68.95,50.05,EXPIRY,999964.05
2017-01-25,2017-01-25,19200,89.15,0.8,88.35000000000001,117.15,-28.799999999999997,STOP_LOSS,999935.25
2017-02-02,2017-02-02,20100,112.05,1.8,110.25,148.7,-38.44999999999999,STOP_LOSS,999896.8
2017-02-09,2017-02-09,20300,203.25,13.1,190.15,139.35,50.80000000000001,EXPIRY,999947.6000000001
2017-02-15,2017-02-16,20300,173.3,12.649999999999999,160.65,201.20000000000002,-40.55000000000001,STOP_LOSS,999907.05
2017-02-16,2017-02-16,20100,112.55000000000001,1.7999999999999998,110.75000000000001,148.0,-37.249999999999986,STOP_LOSS,999869.8
2017-02-21,2017-02-23,20600,223.05,23.25,199.8,253.89999999999998,-54.099999999999966,STOP_LOSS,999815.7000000001
2017-03-02,2017-03-02,20900,96.25,0.55,95.7,124.9,-29.200000000000003,STOP_LOSS,999786.5000000001
2017-03-08,2017-03-09,20800,186.2,13.85,172.35,216.95,-44.599999999999994,STOP_LOSS,999741.9000000001
2017-03-09,2017-03-09,20800,136.45,3.1999999999999997,133.25,86.0,47.25,EXPIRY,999789.1500000001
2017-03-16,2017-03-16,21300,102.44999999999999,1.0,101.44999999999999,47.449999999999996,53.99999999999999,EXPIRY,999843.1500000001
2017-03-22,2017-03-23,21000,162.4,9.1,153.3,205.7,-52.39999999999998,STOP_LOSS,999790.7500000001
2017-03-23,2017-03-23,20800,75.5,0.44999999999999996,75.05,103.95,-28.900000000000006,STOP_LOSS,999761.8500000001
2017-03-30,2017-03-30,21500,90.4,1.05,89.35000000000001,112.0,-22.64999999999999,EXPIRY,999739.2000000001
2017-04-06,2017-04-06,21600,129.14999999999998,2.8,126.34999999999998,21.2,105.14999999999998,TARGET,999844.3500000001
2017-04-12,2017-04-13,21600,157.25,10.950000000000001,146.3,192.35000000000002,-46.05000000000001,STOP_LOSS,999798.3
2017-04-18,2017-04-20,21900,197.0,21.6,175.4,215.79999999999998,-40.39999999999998,STOP_LOSS,999757.9
2017-04-20,2017-04-20,21500,85.05,0.7,84.35,13.85,70.5,TARGET,999828.4
2017-04-27,2017-04-27,22200,93.95,1.5499999999999998,92.4,124.0,-31.599999999999994,STOP_LOSS,999796.8
2017-05-04,2017-05-04,22500,88.95,0.1,88.85000000000001,120.64999999999999,-31.799999999999983,STOP_LOSS,999765.0
2017-05-18,2017-05-18,22700,89.55000000000001,0.3,89.25000000000001,12.049999999999999,77.20000000000002,TARGET,999842.2
2017-05-23,2017-05-25,22500,217.55,18.0,199.55,260.6,-61.05000000000001,STOP_LOSS,999781.1499999999
2017-05-25,2017-05-25,22700,89.65,1.0,88.65,116.7,-28.049999999999997,STOP_LOSS,999753.0999999999
2017-06-01,2017-06-01,23300,111.3,1.2,110.1,18.599999999999998,91.5,TARGET,999844.5999999999
2017-06-15,2017-06-15,23400,84.55000000000001,0.5,84.05000000000001,14.6,69.45000000000002,TARGET,999914.0499999998
2017-06-19,2017-06-22,23500,203.65,9.899999999999999,193.75,244.60000000000002,-50.85000000000002,STOP_LOSS,999863.1999999998
2017-06-22,2017-06-22,23800,71.94999999999999,0.44999999999999996,71.49999999999999,99.85000000000001,-28.350000000000023,STOP_LOSS,999834.8499999999
2017-06-27,2017-06-29,23400,245.95,32.25,213.7,276.75,-63.05000000000001,STOP_LOSS,999771.7999999998
